imdbid,movielabs,deluxe,bomid,bomtitle,wwrelease,inreg
tt1694020,The Guilt Trip,The Guilt Trip,mymotherscurse,The Guilt Trip,12/19/12,1
tt1265990,The Roommate,The Roommate,roommate10,The Roommate,2/8/11,0
tt2125608,Searching for Sugar Man,Searching for Sugar Man,searchingforsugarman,Searching for Sugar Man,7/26/12,0
tt1787759,Madea's Big Happy Family,Madea's Big Happy Family,madeasbighappyfamily,Tyler Perry's Madea's Big Happy Family,4/22/11,0
tt1223236,African Cats,African Cats,africancats,African Cats,4/22/11,0
tt1381404,The Company You Keep,The Company You Keep,companyyoukeep,The Company You Keep,12/26/12,1
tt1876451,Sparkle,Sparkle,sparkle2012,Sparkle (2012),8/17/12,0
tt1222815,Chimpanzee,Chimpanzee,chimpanzee,Chimpanzee,4/20/12,0
tt1870529,Won't Back Down,Won't Back Down,learningtofly,Won't Back Down,9/28/12,1
tt1226753,The Debt,The Debt,debt,The Debt,6/18/11,0
tt1783732,The Place Beyond the Pines,The Place Beyond the Pines,placebeyondthepines,The Place Beyond the Pines,3/20/13,1
tt1486192,The Raven,The Raven,raven,The Raven,3/11/12,1
tt1477855,Hyde Park on Hudson,Hyde Park on Hudson,hydepark,Hyde Park on Hudson,1/10/13,0
tt1547230,Judy Moody and the Not Bummer Summer,Judy Moody and the Not Bummer Summer,judymoody,Judy Moody and the NOT Bummer Summer,6/10/11,0
tt2034139,The Last Exorcism Part II,The Last Exorcism Part II,lastexorcism2,The Last Exorcism Part II,2/28/13,1
tt1405365,Celeste & Jesse Forever,Celeste and Jesse Forever,celesteandjesseforever,Celeste and Jesse Forever,10/5/12,1
tt1838544,Gone,Gone,gone,Gone,2/23/12,1
tt1563738,One Day,One Day,oneday,One Day,8/17/11,1
tt1219289,Limitless,,darkfields,Limitless,3/17/11,0
tt1448755,Killer Elite,Killer Elite,killerelite,Killer Elite,9/22/11,0
tt1486185,Red Riding Hood,,redridinghood,Red Riding Hood,3/10/11,0
tt0480687,Hall Pass,,hallpass,Hall Pass,2/24/11,0
tt1401152,Unknown,,unknownwhitemale11,Unknown,2/18/11,0
tt1855199,End of Watch,,endofwatch,End of Watch,9/20/12,0
